"ID","SCISSORS_CAF","SCISSORS_CAF_K4","SCISSORS_CAF_ALL","SCISSORS_CAF_K2","MS_K2","Elyada_CAF","PurIST","Maurer","Puleo","DeCAF","CAF_whitelist"
"ERR2603466","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"ERR2603467",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603468",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603469",NA,"Mixed","Mixed","proCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603470",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603471","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Stroma Activated","proCAF",TRUE
"ERR2603472","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"ERR2603473","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"ERR2603474","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603475",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"ERR2603476","restCAF","Mixed.restCAF","Mixed.restCAF","restCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603477",NA,NA,"Absent","restCAF","Normal","iCAF","Classical","Immune-rich","Pure Classical","proCAF",TRUE
"ERR2603478","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603479","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603480","restCAF","restCAF","restCAF","restCAF","Normal","myCAF","Classical","Immune-rich","Pure Classical","restCAF",TRUE
"ERR2603481","restCAF","Mixed.restCAF","Mixed.restCAF","restCAF","Activated","myCAF","Classical","ECM-rich","Immune Classical","restCAF",TRUE
"ERR2603482",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603483","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603484",NA,"Mixed","Mixed","proCAF","Normal","myCAF","Classical","ECM-rich","Immune Classical","restCAF",TRUE
"ERR2603485","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603486",NA,NA,"Absent","restCAF","Normal","iCAF","Classical","Immune-rich","Pure Classical","restCAF",TRUE
"ERR2603487",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"ERR2603488",NA,"Mixed","Mixed","proCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603489","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603490","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"ERR2603491",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603492","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603493",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603494","restCAF","restCAF","restCAF","restCAF","Activated","myCAF","Classical","ECM-rich","Immune Classical","restCAF",TRUE
"ERR2603495","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Classical","ECM-rich","Desmoplastic","restCAF",TRUE
"ERR2603496","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Basal-like","ECM-rich","Desmoplastic","restCAF",TRUE
"ERR2603497","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"ERR2603498",NA,"Mixed","Mixed","restCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603499","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"ERR2603500",NA,NA,"Absent","restCAF","Normal","iCAF","Basal-like","Immune-rich","Pure Basal-like","restCAF",TRUE
"ERR2603501","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"ERR2603502","restCAF","restCAF","restCAF","restCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603503","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"ERR2603504","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
