"ID","SCISSORS_CAF","SCISSORS_CAF_K4","SCISSORS_CAF_ALL","SCISSORS_CAF_K2","MS_K2","Elyada_CAF","PurIST","Maurer","Puleo","DeCAF","CAF_whitelist"
"SRR5163411",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SRR5163412",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SRR5163414","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"SRR5163416","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","Immune-rich","Immune Classical","proCAF",TRUE
"SRR5163418","restCAF","restCAF","restCAF","restCAF","Normal","myCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163420","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Classical","ECM-rich","Desmoplastic","restCAF",TRUE
"SRR5163422","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163423","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163424","restCAF","Mixed.restCAF","Mixed.restCAF","restCAF","Activated","iCAF","Classical","Immune-rich","Immune Classical","proCAF",TRUE
"SRR5163426","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","Immune-rich","Desmoplastic","proCAF",TRUE
"SRR5163429","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"SRR5163430","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"SRR5163433","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163434","restCAF","restCAF","restCAF","restCAF","Activated","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163437","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163438","restCAF","restCAF","restCAF","restCAF","Normal","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163446","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"SRR5163448","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"SRR5163450","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"SRR5163452","restCAF","Mixed.restCAF","Mixed.restCAF","restCAF","Activated","iCAF","Classical","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163454","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Basal-like","Immune-rich","Desmoplastic","restCAF",TRUE
"SRR5163456",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"SRR5163458","proCAF","proCAF","proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
"SRR5163460",NA,"Mixed","Mixed","proCAF","Activated","iCAF","Classical","ECM-rich","Desmoplastic","proCAF",TRUE
