"ID","SCISSORS_CAF","SCISSORS_CAF_K4","SCISSORS_CAF_ALL","SCISSORS_CAF_K2","MS_K2","Elyada_CAF","PurIST","Maurer","Puleo","DeCAF","CAF_whitelist"
"SA408414","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA408530","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA408570","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA408758","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA408867","proCAF","Mixed.proCAF","Mixed.proCAF","restCAF","Activated","myCAF","Classical","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA409775","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA410103",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA410118",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA410263","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Desmoplastic","proCAF",TRUE
"SA410311","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA410566","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA410742",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA410750",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA410758","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA410763","restCAF","Mixed.restCAF","Mixed.restCAF","restCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA410859","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA410883",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA410899",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
"SA411189","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA411209","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Classical","ECM-rich","Stroma Activated","proCAF",TRUE
"SA411241","restCAF","Mixed.restCAF","Mixed.restCAF","proCAF","Normal","myCAF","Classical","ECM-rich","Pure Classical","restCAF",TRUE
"SA411305","proCAF","Mixed.proCAF","Mixed.proCAF","proCAF","Activated","myCAF","Basal-like","ECM-rich","Pure Basal-like","proCAF",TRUE
"SA411397",NA,"Mixed","Mixed","proCAF","Activated","myCAF","Classical","ECM-rich","Pure Classical","proCAF",TRUE
